kjv_rid,bhs_rid,gnt_rid,lxx_rid,vul_rid
001005020,001005020,"",001005020,001005020
001005021,001005021,"",001005021,001005021
001005022,001005022,"",001005022,001005022
001005023,001005023,"",001005023,001005023
001005024,001005024,"",001005024,001005024
001005025,001005025,"",001005025,001005025
001005026,001005026,"",001005026,001005026
001005027,001005027,"",001005027,001005027
001005028,001005028,"",001005028,001005028
001005029,001005029,"",001005029,001005029
001005030,001005030,"",001005030,001005030
001005031,001005031,"",001005031,001005031
001005032,001005032,"",001005032,001005032
001006001,001006001,"",001006001,001006001
001006002,001006002,"",001006002,001006002
001006003,001006003,"",001006003,001006003
001006004,001006004,"",001006004,001006004
001006005,001006005,"",001006005,001006005
001006006,001006006,"",001006006,001006006
001006007,001006007,"",001006007,001006007
001006008,001006008,"",001006008,001006008
001006009,001006009,"",001006009,001006009
001006010,001006010,"",001006010,001006010
001006011,001006011,"",001006011,001006011
001006012,001006012,"",001006012,001006012
001006013,001006013,"",001006013,001006013
001006014,001006014,"",001006014,001006014
001006015,001006015,"",001006015,001006015
001006016,001006016,"",001006016,001006016
001006017,001006017,"",001006017,001006017
001006018,001006018,"",001006018,001006018
001006019,001006019,"",001006019,001006019
001006020,001006020,"",001006020,001006020
001006021,001006021,"",001006021,001006021
001006022,001006022,"",001006022,001006022
001007001,001007001,"",001007001,001007001
001007002,001007002,"",001007002,001007002
001007003,001007003,"",001007003,001007003
001007004,001007004,"",001007004,001007004
001007005,001007005,"",001007005,001007005
001007006,001007006,"",001007006,001007006
001007007,001007007,"",001007007,001007007
001007008,001007008,"",001007008,001007008
001007009,001007009,"",001007009,001007009
001007010,001007010,"",001007010,001007010
001007011,001007011,"",001007011,001007011
001007012,001007012,"",001007012,001007012
001007013,001007013,"",001007013,001007013
001007014,001007014,"",001007014,001007014
001007015,001007015,"",001007015,001007015
001007016,001007016,"",001007016,001007016
001007017,001007017,"",001007017,001007017
001007018,001007018,"",001007018,001007018
001007019,001007019,"",001007019,001007019
001007020,001007020,"",001007020,001007020
001007021,001007021,"",001007021,001007021
001007022,001007022,"",001007022,001007022
001007023,001007023,"",001007023,001007023
001007024,001007024,"",001007024,001007024
001008001,001008001,"",001008001,001008001
001008002,001008002,"",001008002,001008002
001008003,001008003,"",001008003,001008003
001008004,001008004,"",001008004,001008004
001008005,001008005,"",001008005,001008005
001008006,001008006,"",001008006,001008006
001008007,001008007,"",001008007,001008007
001008008,001008008,"",001008008,001008008
001008009,001008009,"",001008009,001008009
001008010,001008010,"",001008010,001008010
001008011,001008011,"",001008011,001008011
001008012,001008012,"",001008012,001008012
001008013,001008013,"",001008013,001008013
001008014,001008014,"",001008014,001008014
001008015,001008015,"",001008015,001008015
001008016,001008016,"",001008016,001008016
001008017,001008017,"",001008017,001008017
001008018,001008018,"",001008018,001008018
001008019,001008019,"",001008019,001008019
001008020,001008020,"",001008020,001008020
001008021,001008021,"",001008021,001008021
001008022,001008022,"",001008022,001008022
001009001,001009001,"",001009001,001009001
001009002,001009002,"",001009002,001009002
001009003,001009003,"",001009003,001009003
001009004,001009004,"",001009004,001009004
001009005,001009005,"",001009005,001009005
001009006,001009006,"",001009006,001009006
001009007,001009007,"",001009007,001009007
001009008,001009008,"",001009008,001009008
001009009,001009009,"",001009009,001009009
001009010,001009010,"",001009010,001009010
001009011,001009011,"",001009011,001009011
001009012,001009012,"",001009012,001009012
001009013,001009013,"",001009013,001009013
001009014,001009014,"",001009014,001009014
001009015,001009015,"",001009015,001009015
001009016,001009016,"",001009016,001009016
001009017,001009017,"",001009017,001009017
001009018,001009018,"",001009018,001009018
001009019,001009019,"",001009019,001009019
001009020,001009020,"",001009020,001009020
001009021,001009021,"",001009021,001009021
001009022,001009022,"",001009022,001009022
001009023,001009023,"",001009023,001009023
001009024,001009024,"",001009024,001009024
001009025,001009025,"",001009025,001009025
001009026,001009026,"",001009026,001009026
001009027,001009027,"",001009027,001009027
001009028,001009028,"",001009028,001009028
001009029,001009029,"",001009029,001009029
001010001,001010001,"",001010001,001010001
001010002,001010002,"",001010002,001010002
001010003,001010003,"",001010003,001010003
001010004,001010004,"",001010004,001010004
001010005,001010005,"",001010005,001010005
001010006,001010006,"",001010006,001010006
001010007,001010007,"",001010007,001010007
001010008,001010008,"",001010008,001010008
001010009,001010009,"",001010009,001010009
001010010,001010010,"",001010010,001010010
001010011,001010011,"",001010011,001010011
001010012,001010012,"",001010012,001010012
001010013,001010013,"",001010013,001010013
001010014,001010014,"",001010014,001010014
001010015,001010015,"",001010015,001010015
001010016,001010016,"",001010016,001010016
001010017,001010017,"",001010017,001010017
001010018,001010018,"",001010018,001010018
001010019,001010019,"",001010019,001010019
001010020,001010020,"",001010020,001010020
001010021,001010021,"",001010021,001010021
001010022,001010022,"",001010022,001010022
001010023,001010023,"",001010023,001010023
001010024,001010024,"",001010024,001010024
001010025,001010025,"",001010025,001010025
001010026,001010026,"",001010026,001010026
001010027,001010027,"",001010027,001010027
001010028,001010028,"",001010028,001010028
001010029,001010029,"",001010029,001010029
001010030,001010030,"",001010030,001010030
001010031,001010031,"",001010031,001010031
001010032,001010032,"",001010032,001010032
001011001,001011001,"",001011001,001011001
001011002,001011002,"",001011002,001011002
001011003,001011003,"",001011003,001011003
001011004,001011004,"",001011004,001011004
001011005,001011005,"",001011005,001011005
001011006,001011006,"",001011006,001011006
001011007,001011007,"",001011007,001011007
001011008,001011008,"",001011008,001011008
001011009,001011009,"",001011009,001011009
001011010,001011010,"",001011010,001011010
001011011,001011011,"",001011011,001011011
001011012,001011012,"",001011012,001011012
001011013,001011013,"",001011013,001011013
001011014,001011014,"",001011014,001011014
001011015,001011015,"",001011015,001011015
001011016,001011016,"",001011016,001011016
001011017,001011017,"",001011017,001011017
001011018,001011018,"",001011018,001011018
001011019,001011019,"",001011019,001011019
001011020,001011020,"",001011020,001011020
001011021,001011021,"",001011021,001011021
001011022,001011022,"",001011022,001011022
001011023,001011023,"",001011023,001011023
001011024,001011024,"",001011024,001011024
001011025,001011025,"",001011025,001011025
001011026,001011026,"",001011026,001011026
001011027,001011027,"",001011027,001011027
001011028,001011028,"",001011028,001011028
001011029,001011029,"",001011029,001011029
001011030,001011030,"",001011030,001011030
001011031,001011031,"",001011031,001011031
001011032,001011032,"",001011032,001011032
001012001,001012001,"",001012001,001012001
001012002,001012002,"",001012002,001012002
001012003,001012003,"",001012003,001012003
001012004,001012004,"",001012004,001012004
001012005,001012005,"",001012005,001012005
001012006,001012006,"",001012006,001012006
001012007,001012007,"",001012007,001012007
001012008,001012008,"",001012008,001012008
001012009,001012009,"",001012009,001012009
001012010,001012010,"",001012010,001012010
001012011,001012011,"",001012011,001012011
001012012,001012012,"",001012012,001012012
001012013,001012013,"",001012013,001012013
001012014,001012014,"",001012014,001012014
001012015,001012015,"",001012015,001012015
001012016,001012016,"",001012016,001012016
001012017,001012017,"",001012017,001012017
001012018,001012018,"",001012018,001012018
001012019,001012019,"",001012019,001012019
001012020,001012020,"",001012020,001012020
001013001,001013001,"",001013001,001013001
001013002,001013002,"",001013002,001013002
001013003,001013003,"",001013003,001013003
001013004,001013004,"",001013004,001013004
001013005,001013005,"",001013005,001013005
001013006,001013006,"",001013006,001013006
001013007,001013007,"",001013007,001013007
001013008,001013008,"",001013008,001013008
001013009,001013009,"",001013009,001013009
001013010,001013010,"",001013010,001013010
001013011,001013011,"",001013011,001013011
001013012,001013012,"",001013012,001013012
001013013,001013013,"",001013013,001013013
001013014,001013014,"",001013014,001013014
001013015,001013015,"",001013015,001013015
001013016,001013016,"",001013016,001013016
001013017,001013017,"",001013017,001013017
001013018,001013018,"",001013018,001013018
001014001,001014001,"",001014001,001014001
001014002,001014002,"",001014002,001014002
001014003,001014003,"",001014003,001014003
001014004,001014004,"",001014004,001014004
001014005,001014005,"",001014005,001014005
001014006,001014006,"",001014006,001014006
001014007,001014007,"",001014007,001014007
001014008,001014008,"",001014008,001014008
001014009,001014009,"",001014009,001014009
001014010,001014010,"",001014010,001014010
001014011,001014011,"",001014011,001014011
001014012,001014012,"",001014012,001014012
001014013,001014013,"",001014013,001014013
001014014,001014014,"",001014014,001014014
001014015,001014015,"",001014015,001014015
001014016,001014016,"",001014016,001014016
001014017,001014017,"",001014017,001014017
001014018,001014018,"",001014018,001014018
001014019,001014019,"",001014019,001014019
001014020,001014020,"",001014020,001014020
001014021,001014021,"",001014021,001014021
001014022,001014022,"",001014022,001014022
001014023,001014023,"",001014023,001014023
001014024,001014024,"",001014024,001014024
001015001,001015001,"",001015001,001015001
001015002,001015002,"",001015002,001015002
001015003,001015003,"",001015003,001015003
001015004,001015004,"",001015004,001015004
001015005,001015005,"",001015005,001015005
001015006,001015006,"",001015006,001015006
001015007,001015007,"",001015007,001015007
001015008,001015008,"",001015008,001015008
001015009,001015009,"",001015009,001015009
001015010,001015010,"",001015010,001015010
001015011,001015011,"",001015011,001015011
001015012,001015012,"",001015012,001015012
001015013,001015013,"",001015013,001015013
001015014,001015014,"",001015014,001015014
001015015,001015015,"",001015015,001015015
001015016,001015016,"",001015016,001015016
001015017,001015017,"",001015017,001015017
001015018,001015018,"",001015018,001015018
001015019,001015019,"",001015019,001015019
001015020,001015020,"",001015020,001015020
001015021,001015021,"",001015021,001015021
001016001,001016001,"",001016001,001016001
001016002,001016002,"",001016002,001016002
001016003,001016003,"",001016003,001016003
001016004,001016004,"",001016004,001016004
001016005,001016005,"",001016005,001016005
001016006,001016006,"",001016006,001016006
001016007,001016007,"",001016007,001016007
001016008,001016008,"",001016008,001016008
001016009,001016009,"",001016009,001016009
001016010,001016010,"",001016010,001016010
001016011,001016011,"",001016011,001016011
001016012,001016012,"",001016012,001016012
001016013,001016013,"",001016013,001016013
001016014,001016014,"",001016014,001016014
001016015,001016015,"",001016015,001016015
001016016,001016016,"",001016016,001016016
001017001,001017001,"",001017001,001017001
001017002,001017002,"",001017002,001017002
001017003,001017003,"",001017003,001017003
001017004,001017004,"",001017004,001017004
001017005,001017005,"",001017005,001017005
001017006,001017006,"",001017006,001017006
001017007,001017007,"",001017007,001017007
001017008,001017008,"",001017008,001017008
001017009,001017009,"",001017009,001017009
001017010,001017010,"",001017010,001017010
001017011,001017011,"",001017011,001017011
001017012,001017012,"",001017012,001017012
001017013,001017013,"",001017013,001017013
001017014,001017014,"",001017014,001017014
001017015,001017015,"",001017015,001017015
001017016,001017016,"",001017016,001017016
001017017,001017017,"",001017017,001017017
001017018,001017018,"",001017018,001017018
001017019,001017019,"",001017019,001017019
001017020,001017020,"",001017020,001017020
001017021,001017021,"",001017021,001017021
001017022,001017022,"",001017022,001017022
001017023,001017023,"",001017023,001017023
001017024,001017024,"",001017024,001017024
001017025,001017025,"",001017025,001017025
001017026,001017026,"",001017026,001017026
001017027,001017027,"",001017027,001017027
001018001,001018001,"",001018001,001018001
001018002,001018002,"",001018002,001018002
001018003,001018003,"",001018003,001018003
001018004,001018004,"",001018004,001018004
001018005,001018005,"",001018005,001018005
001018006,001018006,"",001018006,001018006
001018007,001018007,"",001018007,001018007
001018008,001018008,"",001018008,001018008
001018009,001018009,"",001018009,001018009
001018010,001018010,"",001018010,001018010
001018011,001018011,"",001018011,001018011
001018012,001018012,"",001018012,001018012
001018013,001018013,"",001018013,001018013
001018014,001018014,"",001018014,001018014
001018015,001018015,"",001018015,001018015
001018016,001018016,"",001018016,001018016
001018017,001018017,"",001018017,001018017
001018018,001018018,"",001018018,001018018
001018019,001018019,"",001018019,001018019
001018020,001018020,"",001018020,001018020
001018021,001018021,"",001018021,001018021
001018022,001018022,"",001018022,001018022
001018023,001018023,"",001018023,001018023
001018024,001018024,"",001018024,001018024
001018025,001018025,"",001018025,001018025
001018026,001018026,"",001018026,001018026
001018027,001018027,"",001018027,001018027
001018028,001018028,"",001018028,001018028
001018029,001018029,"",001018029,001018029
001018030,001018030,"",001018030,001018030
001018031,001018031,"",001018031,001018031
001018032,001018032,"",001018032,001018032
001018033,001018033,"",001018033,001018033
001019001,001019001,"",001019001,001019001
001019002,001019002,"",001019002,001019002
001019003,001019003,"",001019003,001019003
001019004,001019004,"",001019004,001019004
001019005,001019005,"",001019005,001019005
001019006,001019006,"",001019006,001019006
001019007,001019007,"",001019007,001019007
001019008,001019008,"",001019008,001019008
001019009,001019009,"",001019009,001019009
001019010,001019010,"",001019010,001019010
001019011,001019011,"",001019011,001019011
001019012,001019012,"",001019012,001019012
001019013,001019013,"",001019013,001019013
001019014,001019014,"",001019014,001019014
001019015,001019015,"",001019015,001019015
001019016,001019016,"",001019016,001019016
001019017,001019017,"",001019017,001019017
001019018,001019018,"",001019018,001019018
001019019,001019019,"",001019019,001019019
001019020,001019020,"",001019020,001019020
001019021,001019021,"",001019021,001019021
001019022,001019022,"",001019022,001019022
001019023,001019023,"",001019023,001019023
001019024,001019024,"",001019024,001019024
001019025,001019025,"",001019025,001019025
001019026,001019026,"",001019026,001019026
001019027,001019027,"",001019027,001019027
001019028,001019028,"",001019028,001019028
001019029,001019029,"",001019029,001019029
001019030,001019030,"",001019030,001019030
001019031,001019031,"",001019031,001019031
001019032,001019032,"",001019032,001019032
001019033,001019033,"",001019033,001019033
001019034,001019034,"",001019034,001019034
001019035,001019035,"",001019035,001019035
001019036,001019036,"",001019036,001019036
001019037,001019037,"",001019037,001019037
001019038,001019038,"",001019038,001019038
001020001,001020001,"",001020001,001020001
001020002,001020002,"",001020002,001020002
001020003,001020003,"",001020003,001020003
001020004,001020004,"",001020004,001020004
001020005,001020005,"",001020005,001020005
001020006,001020006,"",001020006,001020006
001020007,001020007,"",001020007,001020007
001020008,001020008,"",001020008,001020008
001020009,001020009,"",001020009,001020009
001020010,001020010,"",001020010,001020010
001020011,001020011,"",001020011,001020011
001020012,001020012,"",001020012,001020012
001020013,001020013,"",001020013,001020013
001020014,001020014,"",001020014,001020014
001020015,001020015,"",001020015,001020015
001020016,001020016,"",001020016,001020016
001020017,001020017,"",001020017,001020017
001020018,001020018,"",001020018,001020018
001021001,001021001,"",001021001,001021001
001021002,001021002,"",001021002,001021002
001021003,001021003,"",001021003,001021003
001021004,001021004,"",001021004,001021004
001021005,001021005,"",001021005,001021005
001021006,001021006,"",001021006,001021006
001021007,001021007,"",001021007,001021007
001021008,001021008,"",001021008,001021008
001021009,001021009,"",001021009,001021009
001021010,001021010,"",001021010,001021010
001021011,001021011,"",001021011,001021011
001021012,001021012,"",001021012,001021012
001021013,001021013,"",001021013,001021013
001021014,001021014,"",001021014,001021014
001021015,001021015,"",001021015,001021015
001021016,001021016,"",001021016,001021016
001021017,001021017,"",001021017,001021017
001021018,001021018,"",001021018,001021018
001021019,001021019,"",001021019,001021019
001021020,001021020,"",001021020,001021020
001021021,001021021,"",001021021,001021021
001021022,001021022,"",001021022,001021022
001021023,001021023,"",001021023,001021023
001021024,001021024,"",001021024,001021024
001021025,001021025,"",001021025,001021025
001021026,001021026,"",001021026,001021026
001021027,001021027,"",001021027,001021027
001021028,001021028,"",001021028,001021028
001021029,001021029,"",001021029,001021029
001021030,001021030,"",001021030,001021030
001021031,001021031,"",001021031,001021031
001021032,001021032,"",001021032,001021032
001021033,001021033,"",001021033,001021033
001021034,001021034,"",001021034,001021034
001022001,001022001,"",001022001,001022001
001022002,001022002,"",001022002,001022002
001022003,001022003,"",001022003,001022003
001022004,001022004,"",001022004,001022004
001022005,001022005,"",001022005,001022005
001022006,001022006,"",001022006,001022006
001022007,001022007,"",001022007,001022007
001022008,001022008,"",001022008,001022008
001022009,001022009,"",001022009,001022009
001022010,001022010,"",001022010,001022010
001022011,001022011,"",001022011,001022011
001022012,001022012,"",001022012,001022012
001022013,001022013,"",001022013,001022013
001022014,001022014,"",001022014,001022014
001022015,001022015,"",001022015,001022015
001022016,001022016,"",001022016,001022016
001022017,001022017,"",001022017,001022017
001022018,001022018,"",001022018,001022018
001022019,001022019,"",001022019,001022019
001022020,001022020,"",001022020,001022020
001022021,001022021,"",001022021,001022021
001022022,001022022,"",001022022,001022022
001022023,001022023,"",001022023,001022023
001022024,001022024,"",001022024,001022024
001023001,001023001,"",001023001,001023001
001023002,001023002,"",001023002,001023002
001023003,001023003,"",001023003,001023003
001023004,001023004,"",001023004,001023004
001023005,001023005,"",001023005,001023005
001023006,001023006,"",001023006,001023006
001023007,001023007,"",001023007,001023007
001023008,001023008,"",001023008,001023008
001023009,001023009,"",001023009,001023009
001023010,001023010,"",001023010,001023010
001023011,001023011,"",001023011,001023011
001023012,001023012,"",001023012,001023012
001023013,001023013,"",001023013,001023013
001023014,001023014,"",001023014,001023014
001023015,001023015,"",001023015,001023015
001023016,001023016,"",001023016,001023016
001023017,001023017,"",001023017,001023017
001023018,001023018,"",001023018,001023018
001023019,001023019,"",001023019,001023019
001023020,001023020,"",001023020,001023020
001024001,001024001,"",001024001,001024001
001024002,001024002,"",001024002,001024002
001024003,001024003,"",001024003,001024003
001024004,001024004,"",001024004,001024004
001024005,001024005,"",001024005,001024005
001024006,001024006,"",001024006,001024006
001024007,001024007,"",001024007,001024007
001024008,001024008,"",001024008,001024008
001024009,001024009,"",001024009,001024009
001024010,001024010,"",001024010,001024010
001024011,001024011,"",001024011,001024011
001024012,001024012,"",001024012,001024012
001024013,001024013,"",001024013,001024013
001024014,001024014,"",001024014,001024014
001024015,001024015,"",001024015,001024015
001024016,001024016,"",001024016,001024016
001024017,001024017,"",001024017,001024017
001024018,001024018,"",001024018,001024018
001024019,001024019,"",001024019,001024019
001024020,001024020,"",001024020,001024020
001024021,001024021,"",001024021,001024021
001024022,001024022,"",001024022,001024022
001024023,001024023,"",001024023,001024023
001024024,001024024,"",001024024,001024024
001024025,001024025,"",001024025,001024025
001024026,001024026,"",001024026,001024026
001024027,001024027,"",001024027,001024027
001024028,001024028,"",001024028,001024028
001024029,001024029,"",001024029,001024029
001024030,001024030,"",001024030,001024030
001024031,001024031,"",001024031,001024031
001024032,001024032,"",001024032,001024032
001024033,001024033,"",001024033,001024033
001024034,001024034,"",001024034,001024034
001024035,001024035,"",001024035,001024035
001024036,001024036,"",001024036,001024036
001024037,001024037,"",001024037,001024037
001024038,001024038,"",001024038,001024038
001024039,001024039,"",001024039,001024039
001024040,001024040,"",001024040,001024040
001024041,001024041,"",001024041,001024041
001024042,001024042,"",001024042,001024042
001024043,001024043,"",001024043,001024043
001024044,001024044,"",001024044,001024044
001024045,001024045,"",001024045,001024045
001024046,001024046,"",001024046,001024046
001024047,001024047,"",001024047,001024047
001024048,001024048,"",001024048,001024048
001024049,001024049,"",001024049,001024049
001024050,001024050,"",001024050,001024050
001024051,001024051,"",001024051,001024051
001024052,001024052,"",001024052,001024052
001024053,001024053,"",001024053,001024053
001024054,001024054,"",001024054,001024054
001024055,001024055,"",001024055,001024055
001024056,001024056,"",001024056,001024056
001024057,001024057,"",001024057,001024057
001024058,001024058,"",001024058,001024058
001024059,001024059,"",001024059,001024059
001024060,001024060,"",001024060,001024060
001024061,001024061,"",001024061,001024061
001024062,001024062,"",001024062,001024062
001024063,001024063,"",001024063,001024063
001024064,001024064,"",001024064,001024064
001024065,001024065,"",001024065,001024065
001024066,001024066,"",001024066,001024066
001024067,001024067,"",001024067,001024067
001025001,001025001,"",001025001,001025001
001025002,001025002,"",001025002,001025002
001025003,001025003,"",001025003,001025003
001025004,001025004,"",001025004,001025004
001025005,001025005,"",001025005,001025005
001025006,001025006,"",001025006,001025006
001025007,001025007,"",001025007,001025007
001025008,001025008,"",001025008,001025008
001025009,001025009,"",001025009,001025009
001025010,001025010,"",001025010,001025010
001025011,001025011,"",001025011,001025011
001025012,001025012,"",001025012,001025012
001025013,001025013,"",001025013,001025013
001025014,001025014,"",001025014,001025014
001025015,001025015,"",001025015,001025015
001025016,001025016,"",001025016,001025016
001025017,001025017,"",001025017,001025017
001025018,001025018,"",001025018,001025018
001025019,001025019,"",001025019,001025019
001025020,001025020,"",001025020,001025020
001025021,001025021,"",001025021,001025021
001025022,001025022,"",001025022,001025022
001025023,001025023,"",001025023,001025023
001025024,001025024,"",001025024,001025024
001025025,001025025,"",001025025,001025025
001025026,001025026,"",001025026,001025026
001025027,001025027,"",001025027,001025027
001025028,001025028,"",001025028,001025028
001025029,001025029,"",001025029,001025029
001025030,001025030,"",001025030,001025030
001025031,001025031,"",001025031,001025031
001025032,001025032,"",001025032,001025032
001025033,001025033,"",001025033,001025033
001025034,001025034,"",001025034,001025034
001026001,001026001,"",001026001,001026001
001026002,001026002,"",001026002,001026002
001026003,001026003,"",001026003,001026003
001026004,001026004,"",001026004,001026004
001026005,001026005,"",001026005,001026005
001026006,001026006,"",001026006,001026006
001026007,001026007,"",001026007,001026007
001026008,001026008,"",001026008,001026008
001026009,001026009,"",001026009,001026009
001026010,001026010,"",001026010,001026010
001026011,001026011,"",001026011,001026011
001026012,001026012,"",001026012,001026012
001026013,001026013,"",001026013,001026013
001026014,001026014,"",001026014,001026014
001026015,001026015,"",001026015,001026015
001026016,001026016,"",001026016,001026016
001026017,001026017,"",001026017,001026017
001026018,001026018,"",001026018,001026018
001026019,001026019,"",001026019,001026019
001026020,001026020,"",001026020,001026020
001026021,001026021,"",001026021,001026021
001026022,001026022,"",001026022,001026022
001026023,001026023,"",001026023,001026023
001026024,001026024,"",001026024,001026024
001026025,001026025,"",001026025,001026025
001026026,001026026,"",001026026,001026026
001026027,001026027,"",001026027,001026027
001026028,001026028,"",001026028,001026028
001026029,001026029,"",001026029,001026029
001026030,001026030,"",001026030,001026030
001026031,001026031,"",001026031,001026031
001026032,001026032,"",001026032,001026032
001026033,001026033,"",001026033,001026033
001026034,001026034,"",001026034,001026034
001026035,001026035,"",001026035,001026035
001027001,001027001,"",001027001,001027001
001027002,001027002,"",001027002,001027002
001027003,001027003,"",001027003,001027003
001027004,001027004,"",001027004,001027004
001027005,001027005,"",001027005,001027005
001027006,001027006,"",001027006,001027006
001027007,001027007,"",001027007,001027007
001027008,001027008,"",001027008,001027008
001027009,001027009,"",001027009,001027009
001027010,001027010,"",001027010,001027010
001027011,001027011,"",001027011,001027011
001027012,001027012,"",001027012,001027012
001027013,001027013,"",001027013,001027013
001027014,001027014,"",001027014,001027014
001027015,001027015,"",001027015,001027015
001027016,001027016,"",001027016,001027016
001027017,001027017,"",001027017,001027017
001027018,001027018,"",001027018,001027018
001027019,001027019,"",001027019,001027019
001027020,001027020,"",001027020,001027020
001027021,001027021,"",001027021,001027021
001027022,001027022,"",001027022,001027022
001027023,001027023,"",001027023,001027023
001027024,001027024,"",001027024,001027024
001027025,001027025,"",001027025,001027025
001027026,001027026,"",001027026,001027026
001027027,001027027,"",001027027,001027027
001027028,001027028,"",001027028,001027028
001027029,001027029,"",001027029,001027029
001027030,001027030,"",001027030,001027030
001027031,001027031,"",001027031,001027031
001027032,001027032,"",001027032,001027032
001027033,001027033,"",001027033,001027033
001027034,001027034,"",001027034,001027034
001027035,001027035,"",001027035,001027035
001027036,001027036,"",001027036,001027036
001027037,001027037,"",001027037,001027037
001027038,001027038,"",001027038,001027038
001027039,001027039,"",001027039,001027039
001027040,001027040,"",001027040,001027040
001027041,001027041,"",001027041,001027041
001027042,001027042,"",001027042,001027042
001027043,001027043,"",001027043,001027043
001027044,001027044,"",001027044,001027044
001027045,001027045,"",001027045,001027045
001027046,001027046,"",001027046,001027046
